text;class
Już płaczesz nad sobą!;metal
Gdzieś pomiędzy piekłem, a niebem;metal
Błogosławieni niech będą przeklęci na wieki;metal
Zaprawdę powiadam wam;metal
Iż koniec jest początkiem;metal
Nie cofniesz tego;metal
Nie zatrzymasz tego, nie, choć chcesz;metal
Jestem posłańcem niosącym zbawienie;metal
Obleczonym w szaty z krwi ostatnich chwil;metal
Niezmordowany w misji swej zapełnie ołtarz ten;metal
Nie macie wyjścia - Nie! Poddacie teraz się!;metal
Już prosisz o litość;metal
Już płaczesz nad sobą;metal
Ja stoje przed Tobą;metal
Bóg stworzył piekło w samym sercu raju;metal
Widzę czarną masę, ciemność aż po kres;metal
Nie, nie, nie, nie przekonasz mnie;metal
Ja widzę, czuję to i wiem;metal
Opanuj moją furię, burzę ognia;metal
Która we mnie jest;metal
Była zawsze i wciąż odzywa się;metal
Nie pokonam jej! Nie pokonam jej!;metal
Pokaż mi swoją duszę, niech popłynie krew!;metal
To wszystko czego chce;metal
To wszystko czego chce!;metal
Już prosisz o litość;metal
Już płaczesz nad sobą;metal
Ja stoje przed Tobą;metal
Czyjś śpiew zamienia się w szept;metal
Czy to Bóg do mnie przemawia czy Szatan?;metal
Czyj słysze głos? Czyj głos słyszeć chce?;metal
Czy zrozumiem te słowa?;metal
Nie, nie, nie, nie, nie, nie...;metal
Już prosisz o litość;metal
Już płaczesz nad sobą;metal
Ja stoje przed Tobą;metal
You weep over yourself!;metal
Somewhere between heaven and hell;metal
Blessed be the eternally cursed;metal
Verily I say to you;metal
End is the beginning;metal
Irreversible truth;metal
Beyond alternation;metal
I am the bringer of your final salvation;metal
Enclothed in robes weaved with sacred sanguine;metal
Perseverant in my way, I will prepare this altar;metal
Deprived of choice, you will bow down before me;metal
You're begging for mercy;metal
You weep over yourself;metal
Here I stand before you;metal
God created hell in the heart of Eden;metal
I see the abyss, the infinite darkness;metal
Try not to alter my mind;metal
'Cause I see and feel and know;metal
Leash my fury, my internal firestorm;metal
I cannot overcome it! Cannot overcome!;metal
Expose your soul before me and let it bleed;metal
It's all that I desire;metal
Its All that I want;metal
You're begging for mercy;metal
You weep over yourself;metal
Here I stand before you;metal
A song turns into whisper;metal
Is that God or Satan who speaks?;metal
Is it real? Or is it in my head?;metal
Will I understand?;metal
You weep over yourself;metal
Jedziemy w górę mapy, morze jest na północy;metal
A z nami leci ziemia jak wystrzelona z procy;metal
Wiem, że do mnie mówisz, wiem i wszystko słyszę;metal
Nie mogę odpowiedzieć, przy drodze drzewa liczę;metal
Hej, hej, na pierwszy rzut oka;metal
Hej, hej, nie widać, że kocham;metal
Hej, hej, na pierwszy rzut oka;metal
Nie widać, że cię kocham;metal
Śledzę jak kabli linie zbliżają się do siebie;metal
A potem oddalają na zachmurzonym niebie;metal
Zaparowane szyby, palcami po nich piszę;metal
A ty coś do mnie mówisz, wiem i wszystko słyszę;metal
Hej, hej, na pierwszy rzut oka;metal
Hej, hej, nie widać, że kocham;metal
Hej, hej, na pierwszy rzut oka;metal
Nie widać, że cię kocham;metal
W krainie nigdzie-nigdzie zaplątany sam w sobie;metal
Trochę egoistycznie siedzę i nic nie robię;metal
Ciało jest obecne, grzeczne i na kanapie;metal
Duch wolny się wyrywa i hula razem z wiatrem;metal
Lub chcąc być blisko ze mną solidarnie milczysz;metal
Kochając i się złoszcząc znosisz to cierpliwie;metal
Wiem o tym wszystkim, ty chyba też wiesz;metal
Uśmiecham się do siebie trochę tajemniczy;metal
Znów pytasz o czym myślę, odpowiadam że o niczym;metal
Hej, hej, na pierwszy rzut oka;metal
Hej, hej, nie widać, że kocham;metal
Hej, hej, na pierwszy rzut oka;metal
Nie widać, że cię kocham;metal
Żeby żyć jak chcę, muszę być bogaty;metal
Zostawiam w myślach kraty, rozumie kto kumaty;metal
Za długo nie miałem, żeby ktoś mi zabrał;metal
Nie rozbita warga, plama krwi i skandal;metal
Na plusie nie długi, mnożę zamiast iść się upić;metal
Uzależnia tak jak szlugi, jak drag muszę kupić;metal
Widzę inni mają, na patentach strzały walą;metal
Nie mówię o tysiącach takie to się zarabiają;metal
Jestem coraz bliżej, kłamiesz mnie? Brudzisz ręce;metal
Widzi różnice ten kto ma doświadczenie;metal
Za długo zmarnowałem, żeby czekać, aż wystawka;metal
Wszystko mam na wyciągnięcie ręki jednym ruchem;metal
Tak się wydawało i poznałem przez to puchę;metal
Chcę mieć jeszcze więcej, odłożyć dużo siana;metal
Się nie martwić, że mnie zamkną psy z samego rana;metal
Nawet jak mnie nie ma działka leci do kieszeni;metal
Wracam po przerwie, wszystko się do siebie klei;metal
Wynajęte lokum, gdzieś na skraju, bez luksusów;metal
Zamieniam myśli w słowa, docierają do twych uszu;metal
Muzyka daje siłę, kręta droga bez odwrotu;metal
W łapie w jedną stronę bilet - prywatne antidotum;metal
Kłopotów coraz więcej, ty masz je i mam ja;metal
Choć więcej doświadczeń czasem ciężko je ogarniać;metal
Ciągle gramy legal, choć nie zawsze się opłaca;metal
